portalName,total,new_items,deleted_items
01b-18163,58,58,0
01c-02,714,714,0
02b-17113,22,22,0
03a-03,241,241,0
03b-19113,137,137,0
04a-01,1516,1516,0
04b-24003,11,11,0
04b-24009,16,16,0
04b-24013,34,34,0
04b-24021,112,112,0
04c-01,1773,1773,0
04f-01,157,157,0
05b-27011,15,15,0
05b-27019,95,95,0
05b-27023,7,7,0
05b-27027,15,15,0
05b-27051,34,34,0
05b-27053,28,28,0
05b-27119,72,72,0
05b-27121,40,40,0
05b-27123,36,36,0
05b-27129,59,59,0
05b-27137,8,8,0
05b-27145,6,6,0
05b-27167,13,13,0
05b-27173,9,9,0
05c-01,226,226,0
05c-02,116,116,0
06a-01,455,455,0
06a-02,194,194,0
06b-26125,331,331,0
06f-01,48,48,0
07b-26161,11,11,0
07c-01,176,176,0
07d-02,65,65,0
08a-02,85,85,0
08b-42003,57,57,0
08b-42027,87,87,0
08b-42029,55,55,0
08b-42039,293,293,0
08b-42043,32,32,0
08b-42091,1815,1815,0
08c-01-2,376,376,0
09a-04,249,249,0
09c-01,130,130,0
1000-0001,110,110,0
10b-55003,9,9,0
10b-55021,83,83,0
10b-55025,0,0,0
10b-55025-01,47,47,0
10b-55035-01,42,42,0
10b-55059,53,53,0
10b-55079,60,60,0
10b-55087,164,164,0
10b-55093,5,5,0
10b-55101,107,107,0
10b-55109,5,5,0
10b-55111,83,83,0
10b-55125-01,32,32,0
10b-55133,83,83,0
10b-55135,61,61,0
10b-55137,12,12,0
10b-55141,17,17,0
10c-03,168,168,0
10c-04,158,158,0
11a-01,729,729,0
11b-39009,49,49,0
11b-39035,43,43,0
11b-39041,34,34,0
11b-39049,36,36,0
11b-39093,201,201,0
11b-39151,103,103,0
11b-39153,4,4,0
12b-17031,267,267,0
12b-17043,61,61,0
12b-17097,1587,1587,0
12b-17143,136,136,0
12c-02,10,10,0
12d-03,34,34,0
13a-01,183,183,0
13a-04,45,45,0
13b-31055,83,83,0
13b-31153,137,137,0
13c-01,232,232,0
13c-02,61,61,0
14a-01,706,706,0
14a-02,360,360,0
